OID,Nama,Kategori,Longitude,Latitude
1,Kantor Kecamatan Jiwan,Pemerintahan,111.491698825331,-7.62388018246257
2,Pasar Sukolilo Kabupaten Madiun,Ekonomi,111.485190117192,-7.6218502306666
3,Puskesmas Klagenserut,Kesehatan,111.495743667659,-7.60103854678482
4,Puskesmas Kecamatan Jiwan,Kesehatan,111.49394741369,-7.62474042058703
5,SMK Negeri 1 Jiwan,Pendidikan,111.510876709987,-7.6024228054495
6,SMK Negeri 2 Jiwan,Pendidikan,111.478705971362,-7.62081940878514
7,SMP Negeri 1 Jiwan,Pendidikan,111.476151232736,-7.62005148557053
8,SMP Negeri 2 Jiwan,Pendidikan,111.511048400198,-7.60238332923873
9,SMA Negeri 1 Jiwan,Pendidikan,111.480975159721,-7.59687157244197
10,SDN Wayut 03,Pendidikan,111.513390852315,-7.60064615039977
11,SDN Klagenserut 01,Pendidikan,111.495413436439,-7.60116153580892
12,MIN 1 MADIUN,Pendidikan,111.495065159721,-7.59519910241567
13,SDN Teguhan 02,Pendidikan,111.47660236951,-7.60569630682519
14,SD Negeri Kincang 03,Pendidikan,111.474913395962,-7.61948437392451
15,SD Negeri Sukolilo 03,Pendidikan,111.461062395962,-7.62245087361385
16,SD Negeri Teguhan 3,Pendidikan,111.480025087772,-7.59385283658729
17,SD NEGERI BIBRIK,Pendidikan,111.492824909454,-7.57590666468815
18,Pujasera Jiwan Kabupaten Madiun,Kuliner,111.490918099789,-7.62439562307895
